Name,Period,Open,Low,High,Close,ChangeRate,PercentageChange,Date,Date_Shamsi
Gram18Ayar,Daily,4814000,4807000,4901000,4892000,82200,1.71%,1/11/2020,1398/10/21
Gram18Ayar,Daily,4890000,4876000,4938000,4908000,16000,0.33%,1/12/2020,1398/10/22
Gram18Ayar,Daily,4915000,4832000,4945000,4922000,14000,0.29%,1/13/2020,1398/10/23
Gram18Ayar,Daily,4931000,4931000,4991000,4959000,37000,0.75%,1/14/2020,1398/10/24
Gram18Ayar,Daily,4950000,4947000,4991000,4987000,28000,0.56%,1/15/2020,1398/10/25
Gram18Ayar,Daily,4951300,4901800,4988900,4936400,50600,1.03%,1/16/2020,1398/10/26
Gram18Ayar,Daily,4927000,4920000,4982000,4975000,38600,0.78%,1/18/2020,1398/10/28
Gram18Ayar,Daily,4973000,4947000,4998000,4977000,2000,0.04%,1/19/2020,1398/10/29
Gram18Ayar,Daily,4975000,4915000,4991000,4934000,43000,0.87%,1/20/2020,1398/10/30
Gram18Ayar,Daily,4931000,4929000,4994000,4971000,37000,0.75%,1/21/2020,1398/11/01
Gram18Ayar,Daily,4975000,4975000,5007000,4998000,27000,0.54%,1/22/2020,1398/11/02
Gram18Ayar,Daily,5021600,4979600,5102900,5007700,9700,0.19%,1/23/2020,1398/11/03
Gram18Ayar,Daily,5033000,5028000,5068000,5056000,48300,0.96%,1/25/2020,1398/11/05
Gram18Ayar,Daily,5065000,5058000,5114000,5111000,55000,1.09%,1/26/2020,1398/11/06
Gram18Ayar,Daily,5104000,5100000,5139000,5116000,5000,0.10%,1/27/2020,1398/11/07
Gram18Ayar,Daily,5116000,5116000,5116000,5116000,-,-,1/28/2020,1398/11/08
Gram18Ayar,Daily,5144000,5144000,5144000,5144000,28000,0.55%,1/30/2020,1398/11/10
Gram18Ayar,Daily,5047000,5019000,5104000,5098000,46000,0.90%,2/1/2020,1398/11/12
Gram18Ayar,Daily,5102000,5065000,5123000,5100000,2000,0.04%,2/2/2020,1398/11/13
Gram18Ayar,Daily,5107000,5033000,5118000,5040000,60000,1.19%,2/3/2020,1398/11/14
Gram18Ayar,Daily,5037000,5028000,5074000,5070000,30000,0.60%,2/4/2020,1398/11/15
Gram18Ayar,Daily,5079000,5063000,5088000,5077000,7000,0.14%,2/5/2020,1398/11/16
Gram18Ayar,Daily,5077000,5077000,5077000,5077000,-,-,2/6/2020,1398/11/17
Gram18Ayar,Daily,5160000,5151000,5185000,5169000,92000,1.81%,2/8/2020,1398/11/19
Gram18Ayar,Daily,5171000,5171000,5204000,5192000,23000,0.44%,2/9/2020,1398/11/20
Gram18Ayar,Daily,5192000,5192000,5192000,5192000,-,-,2/10/2020,1398/11/21
Gram18Ayar,Daily,5222000,5171000,5234000,5174000,18000,0.35%,2/12/2020,1398/11/23
Gram18Ayar,Daily,5174000,5174000,5174000,5174000,-,-,2/13/2020,1398/11/24
Gram18Ayar,Daily,5308000,5250000,5342000,5333000,159000,3.07%,2/15/2020,1398/11/26
Gram18Ayar,Daily,5328000,5287000,5377000,5365000,32000,0.60%,2/16/2020,1398/11/27
Gram18Ayar,Daily,5354000,5347000,5414000,5409000,44000,0.82%,2/17/2020,1398/11/28
Gram18Ayar,Daily,5416000,5370000,5490000,5483000,74000,1.37%,2/18/2020,1398/11/29
Gram18Ayar,Daily,5478000,5455000,5504000,5485000,2000,0.04%,2/19/2020,1398/11/30
Gram18Ayar,Daily,5485000,5485000,5485000,5485000,-,-,2/20/2020,1398/12/01
Gram18Ayar,Daily,5977000,5912000,6224000,5986000,501000,9.13%,2/22/2020,1398/12/03
Gram18Ayar,Daily,5991000,5991000,6319000,6286000,300000,5.01%,2/23/2020,1398/12/04
Gram18Ayar,Daily,6243000,6162000,6365000,6289000,3000,0.05%,2/24/2020,1398/12/05
Gram18Ayar,Daily,6284000,6178000,6305000,6250000,39000,0.62%,2/25/2020,1398/12/06
Gram18Ayar,Daily,6245000,6155000,6326000,6208000,42000,0.68%,2/26/2020,1398/12/07
Gram18Ayar,Daily,6208000,6208000,6208000,6208000,-,-,2/27/2020,1398/12/08
Gram18Ayar,Daily,5769000,5746000,6021000,5993000,215000,3.59%,2/29/2020,1398/12/10
Gram18Ayar,Daily,6060000,5841000,6097000,5929000,64000,1.08%,3/1/2020,1398/12/11
Gram18Ayar,Daily,5922000,5864000,5998000,5989000,60000,1.01%,3/2/2020,1398/12/12
Gram18Ayar,Daily,5984000,5919000,6028000,5982000,7000,0.12%,3/3/2020,1398/12/13
Gram18Ayar,Daily,5977000,5852000,5991000,5989000,7000,0.12%,3/4/2020,1398/12/14
Gram18Ayar,Daily,5989000,5989000,5989000,5989000,-,-,3/5/2020,1398/12/15
Gram18Ayar,Daily,6030000,6030000,6030000,6030000,41000,0.68%,3/7/2020,1398/12/17
Gram18Ayar,Daily,6053000,6030000,6123000,6079000,49000,0.81%,3/9/2020,1398/12/19
Gram18Ayar,Daily,6074000,5929000,6079000,5929000,150000,2.53%,3/10/2020,1398/12/20
Gram18Ayar,Daily,5931000,5852000,5961000,5915000,14000,0.24%,3/11/2020,1398/12/21
Gram18Ayar,Daily,5915000,5915000,5915000,5915000,-,-,3/12/2020,1398/12/22
Gram18Ayar,Daily,5820000,5804000,6007000,5975000,60000,1.01%,3/14/2020,1398/12/24
Gram18Ayar,Daily,5989000,5882000,6171000,5889000,86000,1.46%,3/15/2020,1398/12/25
Gram18Ayar,Daily,5899000,5882000,6153000,6095000,206000,3.50%,3/16/2020,1398/12/26
Gram18Ayar,Daily,6083000,6014000,6127000,6026000,69000,1.15%,3/17/2020,1398/12/27
Gram18Ayar,Daily,6026000,6026000,6026000,6026000,-,-,3/18/2020,1398/12/28
Gram18Ayar,Daily,6192000,6146000,6203000,6178000,152000,2.52%,3/24/2020,1399/01/05
Gram18Ayar,Daily,6139000,6123000,6187000,6176000,2000,0.03%,3/25/2020,1399/01/06
Gram18Ayar,Daily,6176000,6176000,6176000,6176000,-,-,3/26/2020,1399/01/07
Gram18Ayar,Daily,6259000,6252000,6386000,6374000,198000,3.21%,3/28/2020,1399/01/09
Gram18Ayar,Daily,6367000,6240000,6469000,6388000,14000,0.22%,3/29/2020,1399/01/10
Gram18Ayar,Daily,6381000,6344000,6473000,6390000,2000,0.03%,3/30/2020,1399/01/11
Gram18Ayar,Daily,6372000,6372000,6372000,6372000,18000,0.28%,4/2/2020,1399/01/14
Gram18Ayar,Daily,6540000,6508000,6603000,6543000,171000,2.68%,4/4/2020,1399/01/16
Gram18Ayar,Daily,6554000,6527000,6598000,6534000,9000,0.14%,4/5/2020,1399/01/17
Gram18Ayar,Daily,6561000,6448000,6591000,6483000,51000,0.79%,4/6/2020,1399/01/18
Gram18Ayar,Daily,6487000,6319000,6487000,6326000,157000,2.48%,4/7/2020,1399/01/19
Gram18Ayar,Daily,6339500,6326000,6353000,6326000,-,-,4/8/2020,1399/01/20
Gram18Ayar,Daily,6490000,6427000,6520000,6437000,111000,1.75%,4/11/2020,1399/01/23
Gram18Ayar,Daily,6434000,6367000,6448000,6411000,26000,0.41%,4/12/2020,1399/01/24
Gram18Ayar,Daily,6409000,6370000,6446000,6400000,11000,0.17%,4/13/2020,1399/01/25
Gram18Ayar,Daily,6402000,6353000,6411000,6363000,37000,0.58%,4/14/2020,1399/01/26
Gram18Ayar,Daily,6365000,6263000,6365000,6291000,72000,1.14%,4/15/2020,1399/01/27
Gram18Ayar,Daily,6291000,6291000,6291000,6291000,-,-,4/16/2020,1399/01/28
Gram18Ayar,Daily,5996000,5880000,6109000,6104000,187000,3.06%,4/18/2020,1399/01/30
